Posted Date,Reference Number,Payee,Address,Amount
12/23/2023,24692163356105759960434,"PG&E WEBRECURRING 800-743-5000 CA","800-743-5000  CA ",-21.76
12/19/2023,35273500020847000066907,"BA ELECTRONIC PAYMENT","",277.05
12/14/2023,24943003348898002010702,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-95.84
12/12/2023,24692163346108855216704,"XFINITY MOBILE 888-936-4968 PA","888-936-4968  PA ",-38.97
12/11/2023,24943003345898002075872,"COSTCO WHSE #0765 FOLSOM CA","FOLSOM        CA ",-111.62
12/11/2023,24692163343106183770577,"COMCAST CABLE COMM 800-COMCAST OR","800-COMCAST   OR ",-30.00
12/08/2023,24492153341715274282642,"PORTLAND GENERAL ELECTRIC800-542-8818 OR","800-542-8818  OR ",-61.44
12/08/2023,24431063341014000203618,"EL DORADO IRRIGATION DIS 866-386-6210 CA","866-386-6210  CA ",-114.30
12/05/2023,24011343339000018480676,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",-34.90
12/02/2023,24692163335109275920381,"WCI*EL DORADO DISPOSAL 530-626-4141 CA","530-626-4141  CA ",-72.42
12/02/2023,24137463335100619582364,"OFFICEMAX/DEPOT 6428 PLACERVILLE CA","PLACERVILLE   CA ",-1.47
12/01/2023,24943003335898080644781,"COSTCO GAS #0765 FOLSOM CA","FOLSOM        CA ",-41.65
11/30/2023,24692163333107273650184,"IN-N-OUT FOLSOM FOLSOM CA","FOLSOM        CA ",-7.87
11/29/2023,24011343332000051442465,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",-110.40
11/27/2023,24943003331898120521654,"COSTCO GAS #0765 FOLSOM CA","FOLSOM        CA ",-43.30
11/27/2023,24493983330706000931240,"CARL'S JR. 7058 FOLSOM CA","FOLSOM        CA ",-7.50
11/27/2023,24943813330900010731238,"GEN KOREAN BBQ SAN JOSE SAN JOSE CA","SAN JOSE      CA ",-69.32
