Posted Date,Reference Number,Payee,Address,Amount
01/19/2024,24011344018000043607646,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",-37.90
01/19/2024,01873500020847000066234,"BA ELECTRONIC PAYMENT","",862.76
01/12/2024,24692164011101214504995,"PG&E WEBRECURRING 800-743-5000 CA","800-743-5000  CA ",-44.48
01/11/2024,24692164011100753170440,"XFINITY MOBILE 888-936-4968 PA","888-936-4968  PA ",-37.36
01/10/2024,24492154009713848405725,"PORTLAND GENERAL ELECTRIC800-542-8818 OR","800-542-8818  OR ",-49.40
01/09/2024,24692164009109233700803,"COMCAST CABLE COMM 800-COMCAST OR","800-COMCAST   OR ",-30.00
01/05/2024,24943004005898002055972,"COSTCO WHSE #0009 ALOHA OR","ALOHA         OR ",-19.49
01/05/2024,24011344005000019796220,"FAIRYLOOT US HTTPSUS.FAIRYOR","HTTPSUS.FAIRY OR ",-34.90
12/29/2023,74692163362100154001295,"WCI*EL DORADO DISPOSAL 530-626-4141 CA","530-626-4141  CA ",9.05
12/26/2023,24445003357300600871180,"FRED-MEYER #0035 BEAVERTON OR","BEAVERTON     OR ",-46.03
12/26/2023,24034543357002682864883,"ASIAN FOOD CENTER BEAVERTON OR","BEAVERTON     OR ",-16.77
