Posted Date,Reference Number,Payee,Address,Amount
10/21/2023,24692163293107585821315,"PG&E WEBRECURRING 800-743-5000 CA","800-743-5000  CA ",-67.56
10/19/2023,29173500020847000060482,"BA ELECTRONIC PAYMENT","",89.60
10/17/2023,55310203289083739814298,"AMZN MKTP US*TP8J689Q0 SEATTLE WA","SEATTLE       WA ",-39.98
10/12/2023,55310203284083356913998,"AMZN MKTP US*TP9P44CY0 SEATTLE WA","SEATTLE       WA ",-138.35
10/10/2023,24943003283898080208605,"COSTCO GAS #0009 ALOHA OR","ALOHA         OR ",-48.77
10/09/2023,24692163282107963721627,"COMCAST CABLE COMM 800-COMCAST OR","800-COMCAST   OR ",-75.00
10/07/2023,24492153279745632816837,"PORTLAND GENERAL ELECTRIC800-542-8818 OR","800-542-8818  OR ",-58.98
10/07/2023,24431063279878651630204,"EL DORADO IRRIGATION DIS 866-386-6210 CA","866-386-6210  CA ",-130.23
10/07/2023,24755423279162799894889,"STATE OF CALIF DMV INT SC800-7770133 CA","800-7770133   CA ",-201.00
10/07/2023,24755423279172793043086,"CA DMV FEE 678-7315516 TN","678-7315516   TN ",-3.92
10/03/2023,24692163276103086918081,"COMCAST CALIFORNIA 800-COMCAST CA","800-COMCAST   CA ",-6.69
10/03/2023,24692163275102655958206,"WCI*EL DORADO DISPOSAL 530-626-4141 CA","530-626-4141  CA ",-72.42
09/29/2023,24137463271300778828576,"USPS CHANGE OF ADDRESS 800-238-3150 TN","800-238-3150  TN ",-1.10
09/29/2023,24137463271300778828402,"USPS CHANGE OF ADDRESS 800-238-3150 TN","800-238-3150  TN ",-1.10
09/27/2023,24692163270108077430133,"XFINITY MOBILE 888-936-4968 PA","888-936-4968  PA ",-19.12
